id;name;name_in_viet_namese;description;time;i_mdb;director;script;coutry;premiere;poster_url;background_url;movie_url;is_active;updated_date;created_date
1;Account Infrastructure;calculating deposit extranet;Austria;20882;32856;Soap Designer;Baby Factors Account;programming;2021-10-31;Assistant program circuit;Soap Islands;Optional Rubber real-time;true;2021-10-30;2021-10-30
2;circuit;Tanzanian Table;pixel Keyboard help-desk;62995;71102;Forint e-tailers;Representative Architect;Dynamic card Cotton;2021-10-30;didactic Wooden Assimilated;Ohio Refined;Multi-lateral revolutionary;true;2021-10-30;2021-10-30
3;Throughway;Granite compelling instruction;dynamic monetize Fresh;10494;26760;Loan;redundant Usability;copy Legacy;2021-10-30;bleeding-edge;Corporate Buckinghamshire De-engineered;SDD e-services;false;2021-10-30;2021-10-30
4;Berkshire;Incredible bandwidth Shoes;Azerbaijanian Multi-tiered RSS;68508;52631;Tools Synergized;Shirt one-to-one;bandwidth orange blockchains;2021-10-30;Factors;Berkshire Jordan Turkey;installation Universal Dollar;false;2021-10-30;2021-10-30
5;paradigms global;revolutionary Bacon Unbranded;parse;92891;22562;Pants;Officer;auxiliary Steel;2021-10-30;Loan;Frozen;Pants;false;2021-10-30;2021-10-30
6;cyan;input core;indexing interface Spring;30069;53729;hack Communications Shores;Savings Handcrafted Quality;Response Drive Configuration;2021-10-31;real-time Human;Health;Investment overriding Ergonomic;true;2021-10-30;2021-10-31
7;Music Granite;tan Keyboard application;Unbranded Cheese Pines;32014;81393;Lead;e-business;Checking;2021-10-30;Multi-lateral;Facilitator;Account wireless mindshare;false;2021-10-30;2021-10-30
8;backing ROI;deposit Future;technologies Steel Computers;73830;89632;Junctions;mobile salmon;Industrial;2021-10-30;virtual Versatile sticky;Metal array hard;wireless firmware Liberian;true;2021-10-30;2021-10-30
9;Steel Kansas;Directives white technologies;navigating Dynamic;92811;43334;Assurance Mobility;programming;Cape;2021-10-30;Mouse;Utah Maine;Handcrafted Officer South;false;2021-10-30;2021-10-30
10;Montana Junctions Stravenue;Mission lime feed;bypass experiences Throughway;59843;7648;Senior;Steel Concrete Accountability;Trail;2021-10-31;user-centric;Loan;Kwanza;true;2021-10-30;2021-10-30
